"Load current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Iref [uA]","Mirrored Current [V]"
0,1.55,1.18553,0.581455,0.998749,3.98082e-06,0.998743
0.025,1.55,1.18535,0.581791,0.998239,3.9764199999999994e-06,0.998343
0.05,1.55,1.18447,0.580875,0.997458,3.97588e-06,0.99755
0.07500000000000001,1.55,1.18252,0.580499,0.995785,3.970686666666666e-06,0.995895
0.1,1.55,1.18191,0.579769,0.994548,3.969133333333333e-06,0.995216
0.125,1.55,1.18058,0.579371,0.993976,3.962066666666666e-06,0.994295
0.15,1.55,1.17968,0.578991,0.993517,3.960533333333334e-06,0.9934
0.175,1.55,1.17868,0.578173,0.993242,3.959173333333333e-06,0.992278
0.19999999999999998,1.55,1.17847,0.57833,0.99246,3.9548e-06,0.992365
0.22499999999999998,1.55,1.17783,0.577918,0.991707,3.9536600000000005e-06,0.991824
0.24999999999999997,1.55,1.17719,0.577433,0.990886,3.952766666666666e-06,0.991182
0.27499999999999997,1.55,1.1757,0.577196,0.989938,3.947713333333334e-06,0.99038
0.3,1.54,1.17491,0.576819,0.989567,3.947886666666667e-06,0.98976
0.325,1.55,1.17567,0.576753,0.988747,3.945193333333334e-06,0.989087
0.35000000000000003,1.54,1.17417,0.576272,0.988213,3.942613333333334e-06,0.988823
0.37500000000000006,1.54,1.17339,0.575679,0.988017,3.940953333333333e-06,0.987962
0.4000000000000001,1.54,1.17491,0.574655,0.98783,3.93884e-06,0.987909
0.4250000000000001,1.54,1.16962,0.573555,0.985981,3.93722e-06,0.986199
0.4500000000000001,1.54,1.16551,0.571882,0.986336,3.935166666666667e-06,0.986349
0.47500000000000014,1.54,1.15996,0.568201,0.985489,3.9341333333333336e-06,0.985233
0.5000000000000001,1.54,1.14379,0.56094,0.985903,3.93252e-06,0.985431
0.5250000000000001,1.54,1.11036,0.54419,0.984776,3.92988e-06,0.984721
0.5500000000000002,1.54,1.02554,0.501143,0.984533,3.930513333333334e-06,0.984556
0.5510000000000002,1.54,1.02038,0.499519,0.984446,3.9286e-06,0.9834
0.5520000000000002,1.54,1.01397,0.495964,0.984237,3.93026e-06,0.98428
0.5530000000000002,1.54,1.00915,0.492906,0.984436,3.930533333333333e-06,0.983919
0.5540000000000002,1.54,0.999249,0.488411,0.984157,3.92914e-06,0.984268
0.5550000000000002,1.54,0.993374,0.484734,0.984793,3.929133333333333e-06,0.984258
0.5560000000000002,1.54,0.981431,0.481393,0.984472,3.9312133333333334e-06,0.984081
0.5570000000000002,1.54,0.943156,0.459394,0.984385,3.9317800000000005e-06,0.984432
0.5580000000000002,1.54,0.93538,0.4549,0.984251,3.927693333333333e-06,0.984619
0.5590000000000002,1.54,0.926158,0.451048,0.984696,3.931333333333333e-06,0.984494
0.5600000000000002,1.54,0.919402,0.447458,0.98468,3.931486666666667e-06,0.984791
0.5610000000000002,1.54,0.912835,0.445562,0.985361,3.934300000000001e-06,0.985566
0.5620000000000002,1.54,0.90814,0.442955,0.984669,3.936073333333334e-06,0.984963
0.5630000000000002,1.54,0.903014,0.44059,0.98516,3.9361599999999994e-06,0.985179
0.5640000000000002,1.54,0.898604,0.437487,0.985281,3.933426666666667e-06,0.985514
0.5650000000000002,1.54,0.894299,0.434672,0.985031,3.93128e-06,0.985808
0.5660000000000002,1.53,0.886513,0.43168,0.984333,3.929693333333334e-06,0.984652
0.5670000000000002,1.54,0.878447,0.427767,0.985367,3.932513333333333e-06,0.98573
0.5680000000000002,1.53,0.874491,0.425622,0.985409,3.93308e-06,0.985487
0.5690000000000002,1.54,0.866538,0.421347,0.985012,3.931913333333333e-06,0.985611
0.5700000000000002,1.53,0.861487,0.414874,0.98578,3.93404e-06,0.985958
0.5710000000000002,1.54,0.859053,0.416136,0.985909,3.93334e-06,0.985443
0.5720000000000002,1.54,0.847916,0.412096,0.985362,3.9337333333333335e-06,0.985764
0.5730000000000002,1.53,0.839447,0.408252,0.986313,3.93514e-06,0.985776
0.5740000000000002,1.54,0.830365,0.402685,0.985972,3.936006666666666e-06,0.986638
0.5750000000000002,1.53,0.825068,0.400962,0.98579,3.936686666666667e-06,0.985962
0.5760000000000002,1.53,0.816165,0.395587,0.985716,3.9358066666666665e-06,0.9859
0.5770000000000002,1.53,0.806231,0.391994,0.986964,3.93564e-06,0.985949
