"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Mirrored Current [V]"
0.001,0.38,0.000241244,0.00250334,0.40044,0.0946816
0.021,0.83,0.832997,0.411366,0.873678,0.0162288
0.041,1.06,1.08789,0.53829,1.16055,0.0307632
0.061,1.17,1.08029,0.534648,1.14262,0.049557
0.081,1.18,1.02135,0.504263,1.12736,0.0667418
0.101,1.19,1.03437,0.509521,1.10408,0.089786
0.12100000000000001,1.19,1.05073,0.520015,1.08057,0.114706
0.14100000000000001,1.2,1.06425,0.525857,1.05338,0.145084
0.161,1.21,1.06149,0.526285,1.02028,0.189245
0.181,1.21,1.09741,0.542034,1.0101,0.206151
0.20099999999999998,1.23,1.11399,0.551184,1.00184,0.229223
0.22099999999999997,1.25,1.12526,0.55528,0.999124,0.254137
0.24099999999999996,1.27,1.13765,0.563408,0.999278,0.269459
0.26099999999999995,1.28,1.15563,0.571762,1.00008,0.285442
0.28099999999999997,1.3,1.16794,0.57787,1.00022,0.301947
0.301,1.32,1.18229,0.584575,1.00116,0.316178
0.321,1.33,1.19154,0.589245,1.0013,0.33073
0.341,1.34,1.19877,0.593004,1.00171,0.343057
0.36100000000000004,1.35,1.20526,0.595914,1.00203,0.354276
0.38100000000000006,1.36,1.20902,0.597491,1.00311,0.361885
0.4010000000000001,1.37,1.21327,0.600121,1.00394,0.372188
0.4210000000000001,1.38,1.21485,0.600769,1.00495,0.380395
0.4410000000000001,1.4,1.2156,0.601037,1.00555,0.391591
0.46100000000000013,1.42,1.21516,0.6007,1.00585,0.408227
0.48100000000000015,1.43,1.21449,0.600482,1.00668,0.426281
0.5010000000000001,1.44,1.21497,0.600688,1.00755,0.444828
0.5210000000000001,1.47,1.21456,0.600509,1.00847,0.463197
0.5410000000000001,1.48,1.2147,0.60022,1.00946,0.481552
0.5610000000000002,1.51,1.21476,0.600808,1.01108,0.500182
0.5810000000000002,1.54,1.21576,0.600785,1.01261,0.5189
0.6010000000000002,1.55,1.21511,0.600628,1.01382,0.537714
0.6210000000000002,1.57,1.21478,0.600478,1.01574,0.556993
0.6410000000000002,1.59,1.21556,0.600744,1.01677,0.57597
0.6610000000000003,1.61,1.21585,0.600751,1.0192,0.594635
0.6810000000000003,1.64,1.21601,0.600494,1.02049,0.61356
0.7010000000000003,1.66,1.21604,0.600871,1.0228,0.632477
0.7210000000000003,1.68,1.21549,0.600604,1.02448,0.648493
0.7410000000000003,1.68,1.21584,0.600576,1.02637,0.64821
0.7610000000000003,1.68,1.21435,0.599699,1.02679,0.647297
0.7810000000000004,1.68,1.21363,0.599435,1.02803,0.646209
0.8010000000000004,1.68,1.21304,0.59929,1.02942,0.645168
0.8210000000000004,1.68,1.21265,0.598729,1.03044,0.643852
0.8410000000000004,1.68,1.21194,0.598144,1.03132,0.642548
0.8610000000000004,1.68,1.21072,0.59772,1.03257,0.640995
0.8810000000000004,1.68,1.20993,0.597396,1.03434,0.638819
0.9010000000000005,1.68,1.20877,0.596726,1.03579,0.637488
0.9210000000000005,1.68,1.20853,0.596394,1.03722,0.635308
0.9410000000000005,1.68,1.20705,0.595989,1.03831,0.633015
0.9610000000000005,1.68,1.20608,0.595693,1.04028,0.631818
0.9810000000000005,1.68,1.20484,0.595233,1.04215,0.628901
