"""Input current [A]""","""Input voltage [V]""","""VDD [V]""","""Vref [V]""","""Voffs [V]""","""Mirrored Current [V]"""
0.001,0.36333333333333334,0.00024389616666666667,0.00307299,0.4030926666666667,0.08801310000000001
0.021,0.7383333333333333,0.8312128333333333,0.4102506666666667,0.8705788333333332,0.016475733333333333
0.041,1.0666666666666667,1.0860483333333333,0.5370481666666667,1.1583366666666666,0.030800599999999997
0.061,1.1766666666666665,1.0827666666666664,0.5353384999999999,1.1412766666666665,0.04969793333333333
0.081,1.18,1.02731,0.5073675000000001,1.1256683333333333,0.06720151666666667
0.10099999999999999,1.1866666666666665,1.0314066666666666,0.5095651666666666,1.1029066666666665,0.08986236666666668
0.12100000000000001,1.1899999999999997,1.0475533333333333,0.5178658333333334,1.079395,0.11501366666666667
0.14100000000000001,1.1916666666666667,1.05855,0.523354,1.051825,0.14594366666666667
0.161,1.2033333333333334,1.0641683333333334,0.5266416666666667,1.0203550000000001,0.18716116666666668
0.18100000000000002,1.21,1.0938916666666667,0.5406295,1.0090583333333332,0.20701066666666668
0.20099999999999998,1.2249999999999999,1.1141266666666667,0.5510225000000001,1.0020550000000001,0.22730466666666668
0.221,1.2466666666666668,1.1249083333333332,0.5562141666666666,0.9996796666666666,0.251415
0.24099999999999996,1.2666666666666666,1.1382366666666666,0.5633071666666667,0.9999618333333333,0.269241
0.26099999999999995,1.2816666666666667,1.153685,0.5704641666666667,1.0003583333333335,0.2859718333333333
0.28099999999999997,1.2983333333333331,1.1667916666666667,0.577247,1.0006441666666666,0.30190333333333336
0.301,1.3150000000000002,1.1801133333333333,0.5835665,1.0010263333333336,0.31682483333333333
0.321,1.3283333333333334,1.1897666666666666,0.5883838333333333,1.00152,0.33160016666666664
0.341,1.3416666666666668,1.1969166666666666,0.5921956666666667,1.002075,0.3446913333333333
0.36100000000000004,1.3516666666666666,1.2029116666666666,0.5949183333333333,1.0024233333333334,0.3570465
0.38100000000000006,1.3650000000000002,1.2073066666666665,0.5969561666666667,1.0032416666666668,0.36620783333333334
0.4010000000000001,1.3766666666666667,1.210635,0.5986428333333333,1.00399,0.3752101666666667
0.4210000000000001,1.3866666666666665,1.2129166666666666,0.5999223333333334,1.0047966666666666,0.38428633333333334
0.4410000000000001,1.3983333333333334,1.2143050000000002,0.6003805,1.00549,0.39511699999999994
0.46100000000000013,1.4116666666666664,1.2147783333333333,0.6005383333333333,1.0062783333333332,0.409462
0.48100000000000015,1.4316666666666666,1.2146133333333333,0.6005146666666666,1.007295,0.42684916666666667
0.5010000000000002,1.4483333333333333,1.214995,0.6006485,1.0082583333333333,0.44507399999999997
0.521,1.4716666666666667,1.2145983333333332,0.6004169999999999,1.0091383333333332,0.4633873333333333
0.5410000000000003,1.4866666666666666,1.214585,0.6004386666666667,1.0103149999999999,0.48185399999999995
0.561,1.5133333333333334,1.214575,0.6004095,1.0116333333333334,0.5004118333333334
0.5810000000000003,1.5333333333333332,1.2149983333333332,0.6004388333333334,1.0128266666666665,0.5190566666666666
0.6010000000000001,1.5516666666666667,1.215035,0.6005659999999999,1.0142816666666667,0.537846
0.6210000000000003,1.57,1.2150500000000002,0.6005428333333332,1.0158166666666666,0.5566875
0.6410000000000001,1.5883333333333332,1.2152833333333335,0.6005526666666667,1.0171983333333334,0.5752333333333333
0.6610000000000004,1.6116666666666666,1.2153516666666666,0.6005508333333333,1.0191716666666668,0.5911096666666668
0.6810000000000002,1.63,1.2154733333333334,0.6004818333333334,1.0208283333333334,0.6066788333333334
0.7010000000000004,1.6483333333333334,1.21535,0.6005305,1.0228883333333334,0.6225454999999999
0.7210000000000002,1.665,1.2156216666666666,0.6005591666666666,1.024755,0.6376720000000001
0.7410000000000004,1.6783333333333335,1.2156516666666668,0.6005341666666667,1.026675,0.6502951666666666
0.7610000000000002,1.6983333333333335,1.2149183333333333,0.6001568333333333,1.0284633333333333,0.6627146666666667
0.7810000000000005,1.7116666666666667,1.21498,0.6001706666666667,1.0305566666666666,0.6750696666666668
0.8010000000000003,1.7249999999999999,1.2147916666666667,0.6000993333333334,1.0329966666666666,0.6864356666666667
0.8210000000000005,1.735,1.2146266666666665,0.6000316666666666,1.0352316666666666,0.6954393333333334
0.8410000000000003,1.7433333333333334,1.2142416666666669,0.599928,1.037585,0.7043889999999999
0.8610000000000005,1.76,1.2135283333333333,0.5998494999999999,1.040205,0.7132208333333333
0.8810000000000003,1.7683333333333333,1.2130366666666668,0.5996994999999999,1.0427566666666668,0.719466
0.9010000000000006,1.7766666666666666,1.2121116666666667,0.5995181666666667,1.0453166666666667,0.7250925
0.9210000000000004,1.785,1.2111716666666668,0.5993711666666667,1.0482733333333334,0.7299363333333333
0.9410000000000006,1.79,1.2098,0.5992548333333333,1.0509666666666666,0.7335673333333333
0.9610000000000004,1.7966666666666666,1.2082166666666667,0.5989483333333334,1.0538066666666668,0.7352201666666666
0.9810000000000006,1.7983333333333331,1.2060166666666665,0.5986281666666666,1.0566766666666665,0.7363285
