"""Input current [A]""","""Input voltage [V]""","""VDD [V]""","""Vrefpre [V]""","""Voutpre [V]""","""Vbandgap [V]""","""dIin [A]""","""dVin [V]""","""dVDD [V]""","""dVrefpre [V]""","""dVoutpre [V]""","""dVbandgap [V]"""
0.001,0.28625,0.00020239976112500002,0.11622963250000001,0.27178200625,0.0065622118275,1e-06,0.00028625,1.311800261367858e-05,0.0023996608284819754,0.0008382155716337471,5.136814565165081e-05
0.021,0.7525000000000001,0.77218645625,0.46198015625,0.82156785,0.42371408125000004,2.1000000000000002e-05,0.0007525,0.0015234474079205414,0.0002153131298271251,0.0002375238933406023,5.2892635904904927e-05
0.041,0.995,0.8983477875000001,0.5535222375,1.0329438249999998,0.440521475,4.1e-05,0.000995,0.0001899743318499275,5.704238207295509e-05,0.00028989270693194607,3.41985413644888e-05
0.061,1.1675,1.151933375,0.55199431875,1.10944,0.44285594375000004,6.1e-05,0.0011675000000000001,4.781300367810393e-05,4.667873323925584e-05,0.0001537862663745621,2.974775025025845e-05
0.081,1.19875,1.200233125,0.55219028125,1.109832,0.44291926875,8.1e-05,0.0011987499999999997,9.29819613122633e-05,4.861080463311206e-05,0.00011797962153353978,3.2589296015733284e-05
0.101,1.2025000000000001,1.201492875,0.55231816875,1.1101225625,0.44296400625,0.000101,0.0012025,0.00012543090691599366,4.810225751321517e-05,8.929411273145224e-05,3.270247845527019e-05
0.12100000000000001,1.20875,1.2038110625,0.5524626625,1.1104950625,0.44301198124999996,0.00012100000000000001,0.0012087499999999998,0.00014109884065309104,5.0606312183475966e-05,0.00011773740438836031,3.583089375941686e-05
0.14100000000000001,1.2162499999999998,1.207023,0.55264018125,1.1105344375,0.44306326249999994,0.000141,0.0012162499999999999,0.00022379666629031975,4.207821802208618e-05,0.00011176595972139715,2.643275888480912e-05
0.161,1.21875,1.210350375,0.55280545625,1.1106645,0.44308501875000006,0.000161,0.0012187499999999998,0.00022263243142299507,4.762249163177976e-05,0.00014561346045802596,2.8191912865845667e-05
0.181,1.22625,1.2129411875,0.5529885375,1.1108988750000002,0.44315298750000004,0.000181,0.00122625,0.00025554496680568197,5.011603200241601e-05,0.000117298353602208,3.501045281394234e-05
0.20099999999999998,1.23,1.2144654375,0.55312404375,1.1112655624999999,0.4431807875,0.00020099999999999998,0.00123,0.0003306720695539559,4.790151048193375e-05,9.51342129522545e-05,3.178825328346794e-05
0.22099999999999997,1.23875,1.2154439375,0.55326581875,1.1115620000000002,0.44324735000000004,0.00022099999999999998,0.0012387499999999998,0.0002347349016323474,4.401510007400836e-05,0.00010075521719172455,2.9628730475674067e-05
0.24099999999999996,1.2425000000000002,1.215809625,0.55341591875,1.1123701875,0.443376875,0.00024099999999999998,0.0012425000000000001,0.0002782917032103122,3.8171416987196614e-05,0.0001173426249522261,3.0210437328315702e-05
0.26099999999999995,1.25,1.21597225,0.55363818125,1.1127716250000002,0.44342326875,0.00026099999999999995,0.00125,0.00028109938976482256,4.6761311363761646e-05,0.00012808873090831897,2.930773393860042e-05
0.28099999999999997,1.26,1.2158265000000001,0.5538513,1.1131128125000003,0.44350280625,0.000281,0.00126,0.00026229628778779216,4.2231432414272855e-05,0.00012211708885818417,2.990295255926603e-05
0.301,1.27,1.21575025,0.5540860875,1.11346125,0.443581475,0.000301,0.00127,0.00025851050770635796,3.8486785518845354e-05,0.00012571546557923292,3.292271908131016e-05
0.321,1.2837500000000002,1.2156105000000001,0.5543008,1.114148125,0.44362642500000005,0.000321,0.0012837500000000002,0.0002822705134014282,4.72251204949258e-05,0.00010157458187649088,2.7658633805634724e-05
0.341,1.2974999999999999,1.2154396250000001,0.55457501875,1.1144046875,0.443761525,0.00034100000000000005,0.0012975,0.00027255105318340446,4.4649514987856855e-05,0.00012033338292044546,3.08584547478519e-05
0.36100000000000004,1.315,1.2154314999999998,0.5548446062500001,1.115625375,0.4439039875,0.00036100000000000005,0.0013150000000000002,0.00027732322915771353,4.148230989580297e-05,0.00010248824691415684,2.9407233922873434e-05
0.38100000000000006,1.33125,1.2152309999999997,0.5551104250000001,1.1155811875,0.4439807,0.00038100000000000005,0.00133125,0.00027139357404760674,5.5386539858997216e-05,0.0002193674711163158,2.8607206863912463e-05
0.4010000000000001,1.3487500000000001,1.215204375,0.55541475625,1.1166128125,0.44413055,0.0004010000000000001,0.0013487500000000001,0.0002804207404435913,4.9159264031239494e-05,0.00024238419755335982,2.7982471639201995e-05
0.4210000000000001,1.3650000000000002,1.2152611875,0.5556973562499999,1.1171551874999999,0.44427478125,0.0004210000000000001,0.0013650000000000001,0.00027244154364942713,3.905178495531353e-05,0.00010799449882696897,2.9397439100733736e-05
0.4410000000000001,1.38875,1.2150718125,0.55602015625,1.116281375,0.44432155625,0.00044100000000000015,0.0013887499999999998,0.00023614483432246434,4.079817951499737e-05,0.00011836384605011678,2.9419710285232666e-05
0.46100000000000013,1.4074999999999998,1.215090375,0.55630586875,1.116713125,0.4444237,0.00046100000000000015,0.0014075,0.0002198403203512399,4.931626527314235e-05,0.00014637332089859474,2.748321696811303e-05
0.48100000000000015,1.4274999999999998,1.215101,0.5566085375000001,1.1173540625,0.44459146875,0.00048100000000000014,0.0014275,0.00027882609142162193,4.625197932245239e-05,0.00011071438533176678,2.8193432853582214e-05
0.5010000000000001,1.44875,1.215090375,0.5569314062499999,1.1181135625,0.444716575,0.0005010000000000001,0.00144875,0.00028273267977743714,4.9794149067787836e-05,0.0001096055706845047,3.055965256320198e-05
0.5210000000000001,1.4662499999999998,1.215117125,0.55726846875,1.1186563124999997,0.4448219125,0.0005210000000000001,0.00146625,0.000302185193525377,4.407924505408275e-05,0.0001181896880439193,2.726017911073369e-05
0.5410000000000001,1.4862499999999998,1.2151875,0.55760850625,1.1191778125,0.4449617125,0.0005410000000000001,0.0014862500000000002,0.00022481690883469475,4.730616373011899e-05,0.00011048607473169456,2.9043411175630158e-05
0.5610000000000002,1.5074999999999998,1.215208,0.5579051625,1.1195305625,0.4450502125,0.0005610000000000002,0.0015075000000000002,0.00025634894329570705,4.34864144539678e-05,0.00010427397906782842,2.879808441041349e-05
0.5810000000000002,1.5225,1.215180625,0.5581602375000001,1.11982025,0.44516778125,0.0005810000000000002,0.0015225,0.00023001564950551645,3.7302569087172856e-05,9.855185253530263e-05,2.6503355878013097e-05
0.6010000000000002,1.5375,1.2149153125,0.55844420625,1.120362875,0.44524115625,0.0006010000000000002,0.0015375000000000002,0.0002737846982922401,4.447138231270766e-05,9.508746124736301e-05,2.5693646306883567e-05
0.6210000000000002,1.5537500000000002,1.2148629375,0.55875269375,1.120895375,0.44532718749999994,0.0006210000000000002,0.00155375,0.00020565687557885218,4.151551171326683e-05,8.284137686997091e-05,3.11933306191527e-05
0.6410000000000002,1.5675000000000001,1.214946125,0.55900335,1.1215169375,0.44540739374999994,0.0006410000000000003,0.0015675,0.0002367517188467933,4.440624541272299e-05,8.066562279087619e-05,3.1504301828946156e-05
0.6610000000000003,1.5875,1.2148920625,0.55924400625,1.121943125,0.44546077500000003,0.0006610000000000002,0.0015875,0.00023765067201763132,4.610550070312232e-05,8.407653301419806e-05,2.5598060918079772e-05
0.6810000000000003,1.59875,1.2148133125,0.55948720625,1.1224902500000002,0.4455199375000001,0.0006810000000000003,0.00159875,0.0002226007901224864,3.944936699844972e-05,8.118240381262159e-05,2.978945101118928e-05
0.7010000000000003,1.6099999999999999,1.2146689375,0.55973585,1.123019875,0.44554500624999993,0.0007010000000000003,0.00161,0.00023334780672125356,4.220907608109307e-05,8.251919896756359e-05,2.7460389827049633e-05
0.7210000000000003,1.6224999999999998,1.2144252500000001,0.5599901812499999,1.1234091875,0.44558988749999995,0.0007210000000000003,0.0016225000000000002,0.00020150769191309482,3.754096577099259e-05,9.506005136464087e-05,2.845983325977416e-05
0.7410000000000003,1.63625,1.214045375,0.5601613187499999,1.1237055000000002,0.445607825,0.0007410000000000003,0.0016362500000000001,0.00021406808076396294,3.8996693127093865e-05,7.904654946324529e-05,2.8554540757870043e-05
0.7610000000000003,1.65,1.2138795624999998,0.56035273125,1.1241664375,0.44559715624999996,0.0007610000000000004,0.00165,0.00023870034332355226,3.760529941840409e-05,0.00010424636441822698,3.246173650292317e-05
0.7810000000000004,1.65875,1.2135965,0.56055185,1.1244961875000001,0.44558538125,0.0007810000000000003,0.00165875,0.00021598031064708006,3.4238140316916276e-05,7.694277586027426e-05,3.0020545540940324e-05
0.8010000000000004,1.6687500000000002,1.2133358125,0.5607248374999999,1.1249690625,0.4455481124999999,0.0008010000000000004,0.00166875,0.0002079252559820617,4.3353658062613004e-05,8.631737655287209e-05,2.6105832696229774e-05
0.8210000000000004,1.6775,1.21282925,0.5608556812500001,1.12549825,0.44548909375000006,0.0008210000000000004,0.0016775000000000002,0.00021406344616383926,3.581462889759339e-05,9.279597324901749e-05,2.9728610999978637e-05
0.8410000000000004,1.6875,1.2123111875,0.5609860499999999,1.1257745,0.44541494374999996,0.0008410000000000004,0.0016875000000000002,0.0002159877602482507,4.0019876100367455e-05,7.79693493711893e-05,2.9700197008999104e-05
0.8610000000000004,1.6949999999999998,1.2115812499999998,0.5610671062500001,1.1261038125,0.445301725,0.0008610000000000004,0.0016950000000000001,0.0001990693448611072,3.795778336325011e-05,9.252371758976897e-05,2.8654261473687375e-05
0.8810000000000004,1.70125,1.210432875,0.56111785,1.1262293749999999,0.4451691125,0.0008810000000000005,0.00170125,0.00020464427559324026,4.006987583533573e-05,7.988291659969976e-05,3.457023906383881e-05
0.9010000000000005,1.70875,1.2093424375000001,0.5611569812499999,1.1261808125,0.44499008124999995,0.0009010000000000004,0.0017087500000000002,0.0002033337491513399,3.7953254175808914e-05,6.932185467797318e-05,2.7223737082293038e-05
0.9210000000000005,1.7174999999999998,1.2078383125,0.56111425,1.1262094999999999,0.4447679625,0.0009210000000000005,0.0017175,0.00019771724221837202,3.77939046168837e-05,0.00010074717262766054,2.683832416720411e-05
0.9410000000000005,1.7225000000000001,1.2060266874999999,0.56109465625,1.1263939375,0.4445594,0.0009410000000000005,0.0017225,0.00019982779919777577,3.946796204972173e-05,9.197657284124844e-05,3.0002460752056024e-05
0.9610000000000005,1.72625,1.2037125624999998,0.560972925,1.126296125,0.44428768750000003,0.0009610000000000006,0.0017262500000000001,0.0001903788585612703,3.168774835083689e-05,7.224686450686555e-05,2.789066589315425e-05
0.9810000000000005,1.73,1.201144875,0.56083936875,1.1262956874999999,0.44398771875,0.0009810000000000005,0.0017300000000000002,0.0002254563424155793,2.8304075554369082e-05,8.049148321236629e-05,2.9359420107517155e-05
